Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,133,1,-0.018497353,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,133,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,133,1,-0.029741159,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,134,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,134,1,0.014364295,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,134,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,135,1,-0.030854773,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,135,1,-0.023274817,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,135,1,-0.05748049,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,136,1,0.058547433,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,136,1,0.017558137,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,136,1,0.02422747,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,137,1,0.027255176,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,137,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,137,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,138,1,-0.011338528,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,138,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,138,1,-0.011565623,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,139,1,-0.034161035,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,139,1,-0.0060232547,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,139,1,-0.010381259,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,140,1,0.008266279,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,140,1,-0.009473628,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,140,1,-0.022494832,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,141,1,0.020918055,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,141,1,0.013372639,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
